"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
527,"2018-11-01 00:31:49.0320","2018-11-01 00:40:36.7590",102,"Powder House Circle - Nathan Tufts Park",42.400877,-71.116772,234,"Broadway at Central St",42.39517150121575,-71.09850591982195,2638,"Customer",1969,0
1056,"2018-11-01 00:32:23.6060","2018-11-01 00:50:00.1800",96,"Cambridge Main Library at Broadway / Trowbridge St",42.373379,-71.111075,57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,4005,"Subscriber",1989,1
279,"2018-11-01 00:37:04.5860","2018-11-01 00:41:43.8030",115,"Porter Square Station",42.387995,-71.119084,71,"Conway Park - Somerville Avenue",42.383405,-71.107593,4182,"Subscriber",1994,1
1438,"2018-11-01 00:38:43.1760","2018-11-01 01:02:41.2400",176,"Lesley University",42.38674802045056,-71.11901879310608,91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,748,"Subscriber",1995,1
1268,"2018-11-01 00:38:46.6690","2018-11-01 00:59:54.9150",176,"Lesley University",42.38674802045056,-71.11901879310608,116,"359 Broadway - Broadway at Fayette Street",42.370803,-71.104412,2948,"Subscriber",1995,1
127,"2018-11-01 00:44:45.5580","2018-11-01 00:46:53.1740",121,"W Broadway at Dorchester St",42.335693,-71.045859,119,"South Boston Library - 646 E Broadway",42.335741,-71.03877,2350,"Customer",1969,0
146,"2018-11-01 00:44:51.9370","2018-11-01 00:47:18.7450",121,"W Broadway at Dorchester St",42.335693,-71.045859,119,"South Boston Library - 646 E Broadway",42.335741,-71.03877,2695,"Customer",1969,0
195,"2018-11-01 00:46:28.1180","2018-11-01 00:49:44.1120",33,"Kenmore Square",42.348706,-71.097009,342,"Boylston St at Jersey St",42.344650628878306,-71.09732501226972,4012,"Subscriber",1967,2
394,"2018-11-01 00:47:39.6340","2018-11-01 00:54:14.2860",331,"Huntington Ave at Mass Art",42.336585554561154,-71.0988699646623,19,"Park Dr at Buswell St",42.347241,-71.105301,3527,"Subscriber",1998,1
322,"2018-11-01 00:49:22.3670","2018-11-01 00:54:44.9980",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,2282,"Subscriber",1996,1
317,"2018-11-01 00:49:44.0870","2018-11-01 00:55:02.0210",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3277,"Subscriber",1997,2
367,"2018-11-01 00:54:11.2320","2018-11-01 01:00:18.4080",342,"Boylston St at Jersey St",42.344650628878306,-71.09732501226972,5,"Northeastern University - North Parking Lot",42.341814,-71.090179,3971,"Subscriber",1994,1
536,"2018-11-01 00:58:09.7660","2018-11-01 01:07:06.5820",100,"Davis Square",42.396969,-71.123024,114,"Teele Square",42.40203828065014,-71.1265329148955,2907,"Subscriber",1992,1
422,"2018-11-01 00:58:38.1870","2018-11-01 01:05:40.3980",95,"Cambridge St - at Columbia St / Webster Ave",42.372969,-71.094445,335,"Harvard St at Greene-Rose Heritage Park",42.36599432867437,-71.09522221614498,1182,"Subscriber",1988,1
368,"2018-11-01 00:59:03.2750","2018-11-01 01:05:12.2440",75,"Lafayette Square at Mass Ave / Main St / Columbia St",42.36346469304347,-71.10057324171066,95,"Cambridge St - at Columbia St / Webster Ave",42.372969,-71.094445,4030,"Subscriber",1987,1
713,"2018-11-01 01:06:17.9770","2018-11-01 01:18:11.3150",9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,175,"Brighton Center - Washington St at Cambridge St",42.34894857235593,-71.15027189254761,3750,"Subscriber",1993,2
1095,"2018-11-01 01:08:48.9970","2018-11-01 01:27:04.5700",214,"Airport T Stop - Bremen St at Brooks St",42.37411261907485,-71.03277500727926,212,"Maverick Square - Lewis Mall",42.368844082898356,-71.03977829217911,2306,"Customer",1969,0
841,"2018-11-01 01:09:49.9640","2018-11-01 01:23:51.1880",36,"Copley Square - Dartmouth St at Boylston St",42.34993463611888,-71.07738554477692,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,3869,"Subscriber",1993,1
696,"2018-11-01 01:12:01.7480","2018-11-01 01:23:38.0680",206,"Government Center - Cambridge St at Court St",42.359802515995526,-71.05960782626425,98,"Warren St at Chelsea St",42.371848,-71.060292,555,"Subscriber",1980,2
684,"2018-11-01 01:12:27.4820","2018-11-01 01:23:52.4600",46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,177,"University Park",42.36264779118595,-71.10006093978882,2479,"Customer",1969,0
4753,"2018-11-01 01:13:30.0040","2018-11-01 02:32:43.6240",125,"Hyde Square - Barbara St at Centre St",42.32176525723952,-71.10984160567114,205,"Bowdoin St at Quincy St",42.30785224238503,-71.06512248516083,2331,"Customer",1969,0
2218,"2018-11-01 01:14:38.1660","2018-11-01 01:51:37.0280",177,"University Park",42.36264779118595,-71.10006093978882,82,"Beacon St at Tappan St",42.33826680058037,-71.13894682028331,1125,"Customer",1990,1
233,"2018-11-01 01:15:26.8670","2018-11-01 01:19:19.9240",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3190,"Subscriber",2000,1
769,"2018-11-01 01:17:25.3510","2018-11-01 01:30:14.9600",46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,2555,"Subscriber",2000,2
361,"2018-11-01 01:17:57.4870","2018-11-01 01:23:59.4180",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3432,"Subscriber",1999,2
348,"2018-11-01 01:18:05.7540","2018-11-01 01:23:53.8980",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3556,"Subscriber",1999,2
457,"2018-11-01 01:18:16.2830","2018-11-01 01:25:54.2400",6,"Cambridge St at Joy St",42.36121165307985,-71.06530619789737,40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,3632,"Customer",1969,0
273,"2018-11-01 01:19:51.3270","2018-11-01 01:24:25.0260",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,2876,"Subscriber",1999,1
2293,"2018-11-01 01:24:04.6560","2018-11-01 02:02:17.7600",115,"Porter Square Station",42.387995,-71.119084,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.34807412317439,-71.07657015323639,3036,"Subscriber",1984,2
349,"2018-11-01 01:24:13.3080","2018-11-01 01:30:02.3680",67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,179,"MIT Vassar St",42.355601213279265,-71.10394477844238,3190,"Subscriber",1995,1
359,"2018-11-01 01:27:06.3780","2018-11-01 01:33:06.2220",96,"Cambridge Main Library at Broadway / Trowbridge St",42.373379,-71.111075,225,"Cambridge Dept. of Public Works -147 Hampshire St.",42.37119727759414,-71.09759867191315,3600,"Subscriber",1993,1
654,"2018-11-01 01:27:08.9480","2018-11-01 01:38:03.6780",54,"Tremont St at West St",42.354979,-71.063348,364,"Tremont St at Northampton St",42.33889559644165,-71.08149975611013,4048,"Subscriber",1990,2
568,"2018-11-01 01:28:08.1610","2018-11-01 01:37:36.4180",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,95,"Cambridge St - at Columbia St / Webster Ave",42.372969,-71.094445,621,"Customer",1969,0
561,"2018-11-01 01:28:21.4620","2018-11-01 01:37:42.9150",204,"Walnut Ave at Warren St",42.324081,-71.083235,57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,2444,"Customer",1969,0
360,"2018-11-01 01:31:38.4860","2018-11-01 01:37:38.6270",104,"Harvard University Radcliffe Quadrangle at Shepard St / Garden St",42.380287,-71.125107,110,"Harvard University Gund Hall at Quincy St / Kirkland S",42.376369,-71.114025,3386,"Subscriber",1978,1
1177,"2018-11-01 01:39:54.0880","2018-11-01 01:59:31.7500",5,"Northeastern University - North Parking Lot",42.341814,-71.090179,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,698,"Customer",1969,0
345,"2018-11-01 01:41:32.8230","2018-11-01 01:47:18.5990",35,"Arch St at Franklin St",42.355335019412564,-71.0582291708306,20,"Aquarium T Stop - 200 Atlantic Ave",42.35991176110118,-71.0514298081398,3983,"Subscriber",1996,1
1252,"2018-11-01 01:48:48.7180","2018-11-01 02:09:41.3110",54,"Tremont St at West St",42.354979,-71.063348,342,"Boylston St at Jersey St",42.344650628878306,-71.09732501226972,3146,"Subscriber",1997,2
98,"2018-11-01 01:51:53.0400","2018-11-01 01:53:31.3220",226,"Commonwealth Ave At Babcock St",42.35154734791375,-71.12126246094704,226,"Commonwealth Ave At Babcock St",42.35154734791375,-71.12126246094704,3518,"Customer",1999,1
864,"2018-11-01 01:52:58.5370","2018-11-01 02:07:22.8110",4,"Tremont St at E Berkeley St",42.345392,-71.069616,27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,2384,"Subscriber",1972,1
1551,"2018-11-01 01:55:07.6680","2018-11-01 02:20:59.3880",54,"Tremont St at West St",42.354979,-71.063348,162,"Franklin Park - Seaver St at Humbolt Ave",42.309796,-71.092225,4089,"Customer",1997,2
732,"2018-11-01 01:56:03.9570","2018-11-01 02:08:16.6410",226,"Commonwealth Ave At Babcock St",42.35154734791375,-71.12126246094704,33,"Kenmore Square",42.348706,-71.097009,3518,"Customer",1969,0
529,"2018-11-01 01:56:20.8610","2018-11-01 02:05:10.5300",226,"Commonwealth Ave At Babcock St",42.35154734791375,-71.12126246094704,227,"Silber Way",42.34949599514002,-71.10057592391968,4149,"Customer",1969,0
972,"2018-11-01 01:57:44.8740","2018-11-01 02:13:57.8730",49,"Stuart St at Charles St",42.351146,-71.066289,3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.34011512249236,-71.10061883926392,3197,"Subscriber",1995,1
679,"2018-11-01 01:58:20.3020","2018-11-01 02:09:39.7780",36,"Copley Square - Dartmouth St at Boylston St",42.34993463611888,-71.07738554477692,179,"MIT Vassar St",42.355601213279265,-71.10394477844238,2770,"Subscriber",1988,1
1932,"2018-11-01 01:58:49.5880","2018-11-01 02:31:02.0820",33,"Kenmore Square",42.348706,-71.097009,4,"Tremont St at E Berkeley St",42.345392,-71.069616,2939,"Subscriber",1997,1
528,"2018-11-01 01:59:31.8730","2018-11-01 02:08:19.9340",9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,33,"Kenmore Square",42.348706,-71.097009,3336,"Customer",1999,1
2317,"2018-11-01 01:59:59.7050","2018-11-01 02:38:36.9000",352,"Ring Rd",42.348278385426255,-71.08044855314802,233,"St Mary's",42.346197076555455,-71.10728681087494,2628,"Subscriber",1963,1
275,"2018-11-01 02:01:55.1020","2018-11-01 02:06:30.5540",67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,3556,"Subscriber",1999,1
362,"2018-11-01 02:02:42.7200","2018-11-01 02:08:45.1580",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3917,"Subscriber",2000,1
4069,"2018-11-01 02:05:29.7810","2018-11-01 03:13:19.4860",4,"Tremont St at E Berkeley St",42.345392,-71.069616,4,"Tremont St at E Berkeley St",42.345392,-71.069616,2451,"Subscriber",1953,1
1706,"2018-11-01 02:05:37.3350","2018-11-01 02:34:04.2470",120,"Beacon St at Charles St",42.356052,-71.069849,179,"MIT Vassar St",42.355601213279265,-71.10394477844238,2800,"Subscriber",1992,1
1278,"2018-11-01 02:07:15.4170","2018-11-01 02:28:33.7930",120,"Beacon St at Charles St",42.356052,-71.069849,105,"Lower Cambridgeport at Magazine St / Riverside Rd",42.357218503176526,-71.1138716340065,1545,"Subscriber",1991,1
751,"2018-11-01 02:10:52.1900","2018-11-01 02:23:23.8560",41,"Packard's Corner - Commonwealth Ave at Brighton Ave",42.352261,-71.123831,338,"Commonwealth Ave at Kelton St",42.348358628170445,-71.13997217276847,3634,"Customer",1969,0
230,"2018-11-01 02:11:41.6570","2018-11-01 02:15:31.6730",357,"Centre St at Seaverns Ave",42.3121203,-71.1142981,125,"Hyde Square - Barbara St at Centre St",42.32176525723952,-71.10984160567114,3875,"Subscriber",1986,1
528,"2018-11-01 02:12:35.6420","2018-11-01 02:21:23.9630",344,"Commonwealth Ave at Chiswick Rd",42.34024644768889,-71.15168806174552,82,"Beacon St at Tappan St",42.33826680058037,-71.13894682028331,3526,"Subscriber",1987,1
1017,"2018-11-01 02:14:18.5340","2018-11-01 02:31:16.0690",19,"Park Dr at Buswell St",42.347241,-71.105301,103,"JFK Crossing at Harvard St. / Thorndike St.",42.346563,-71.128374,1573,"Customer",1993,1
911,"2018-11-01 02:15:44.1440","2018-11-01 02:30:55.6720",19,"Park Dr at Buswell St",42.347241,-71.105301,103,"JFK Crossing at Harvard St. / Thorndike St.",42.346563,-71.128374,2589,"Customer",1993,1
1010,"2018-11-01 02:18:24.7290","2018-11-01 02:35:15.2120",218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.351586001198456,-71.04569256305693,59,"Chinatown Gate Plaza",42.351356,-71.059367,2424,"Subscriber",1993,1
445,"2018-11-01 02:18:37.0670","2018-11-01 02:26:02.1190",52,"Newbury St at Hereford St",42.348717,-71.085954,364,"Tremont St at Northampton St",42.33889559644165,-71.08149975611013,3615,"Subscriber",1991,1
1181,"2018-11-01 02:23:33.2180","2018-11-01 02:43:14.7960",60,"Charles Circle - Charles St at Cambridge St",42.36018499796463,-71.07086597688976,72,"One Broadway / Kendall Sq at Main St / 3rd St",42.36224178650923,-71.0831107199192,3986,"Subscriber",1977,1
1066,"2018-11-01 02:25:14.0620","2018-11-01 02:43:00.8650",361,"Deerfield St at Commonwealth Ave",42.34924376955301,-71.09728209692548,351,"Faneuil St at Arlington St",42.35276620545606,-71.15988485533308,3114,"Subscriber",1998,1
240,"2018-11-01 02:28:35.2040","2018-11-01 02:32:35.7470",206,"Government Center - Cambridge St at Court St",42.359802515995526,-71.05960782626425,190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,3240,"Subscriber",1995,1
798,"2018-11-01 02:28:47.3910","2018-11-01 02:42:05.7230",49,"Stuart St at Charles St",42.351146,-71.066289,122,"Burlington Ave at Brookline Ave",42.345733,-71.100694,3329,"Customer",1969,0
758,"2018-11-01 02:29:16.8290","2018-11-01 02:41:55.0130",49,"Stuart St at Charles St",42.351146,-71.066289,122,"Burlington Ave at Brookline Ave",42.345733,-71.100694,3169,"Subscriber",1997,1
507,"2018-11-01 02:32:19.5210","2018-11-01 02:40:46.8520",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,3709,"Subscriber",1993,1
372,"2018-11-01 02:34:53.3860","2018-11-01 02:41:05.8510",110,"Harvard University Gund Hall at Quincy St / Kirkland S",42.376369,-71.114025,334,"Mass Ave at Hadley/Walden",42.39120971915856,-71.12260755160605,3386,"Subscriber",1993,1
738,"2018-11-01 02:42:20.1340","2018-11-01 02:54:38.5490",81,"Chinatown T Stop",42.352409,-71.062679,55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,3842,"Subscriber",1997,1
32791,"2018-11-01 02:45:44.7110","2018-11-01 11:52:15.7420",61,"Boylston St at Fairfield St",42.348762,-71.082383,45,"Jersey St. at Boylston St.",42.3446808403874,-71.09785348176956,2903,"Customer",1969,0
492,"2018-11-01 02:46:03.2590","2018-11-01 02:54:15.5780",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,3579,"Subscriber",1997,1
441,"2018-11-01 02:50:09.2700","2018-11-01 02:57:30.6500",9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,33,"Kenmore Square",42.348706,-71.097009,2555,"Subscriber",1997,1
655,"2018-11-01 02:51:25.4950","2018-11-01 03:02:21.4080",46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,14,"HMS/HSPH - Avenue Louis Pasteur at Longwood Ave",42.3374174845973,-71.10286116600037,3899,"Subscriber",1960,1
20097,"2018-11-01 02:55:12.0260","2018-11-01 08:30:09.7290",61,"Boylston St at Fairfield St",42.348762,-71.082383,6,"Cambridge St at Joy St",42.36121165307985,-71.06530619789737,3361,"Customer",1969,0
277,"2018-11-01 02:57:58.9360","2018-11-01 03:02:36.7810",67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,178,"MIT Pacific St at Purrington St",42.35957320109044,-71.10129475593567,2282,"Subscriber",1995,2
196,"2018-11-01 02:58:29.5100","2018-11-01 03:01:45.7550",67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,3432,"Subscriber",1999,1
1006,"2018-11-01 02:58:47.4840","2018-11-01 03:15:33.7970",364,"Tremont St at Northampton St",42.33889559644165,-71.08149975611013,233,"St Mary's",42.346197076555455,-71.10728681087494,2870,"Customer",1969,0
1110,"2018-11-01 02:59:15.5440","2018-11-01 03:17:46.4500",68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,110,"Harvard University Gund Hall at Quincy St / Kirkland S",42.376369,-71.114025,3869,"Customer",1969,0
